#/global/homes/j/joeschm/st_research/NSTXU_discharges/139047/NSTXU139047.iterdb
#rhot VROT
6.838307999999999887e-02 1.652101000000000058e+05
6.863283000000000578e-02 1.649872000000000116e+05
6.888257999999999881e-02 1.647657000000000116e+05
6.913233000000000572e-02 1.645456000000000058e+05
6.938208999999999349e-02 1.643266000000000058e+05
6.963184000000000040e-02 1.641087000000000116e+05
6.988158999999999343e-02 1.638916000000000058e+05
7.013134000000000035e-02 1.636752999999999884e+05
7.038108999999999338e-02 1.634596000000000058e+05
7.063084000000000029e-02 1.632443999999999942e+05
7.088058999999999332e-02 1.630296000000000058e+05
7.113034000000000023e-02 1.628150000000000000e+05
7.138008999999999327e-02 1.626005000000000000e+05
7.162984000000000018e-02 1.623860000000000000e+05
7.187958999999999321e-02 1.621713999999999942e+05
7.212934000000000012e-02 1.619565000000000000e+05
7.237908999999999315e-02 1.617412000000000116e+05
7.262884000000000007e-02 1.615255000000000000e+05
7.287858999999999310e-02 1.613092000000000116e+05
7.312834000000000001e-02 1.610921000000000058e+05
7.337809000000000692e-02 1.608743999999999942e+05
7.362783999999999995e-02 1.606561000000000058e+05
7.387759000000000686e-02 1.604372000000000116e+05
7.412734999999999463e-02 1.602176000000000058e+05
7.437710000000000155e-02 1.599976000000000058e+05
7.462684999999999458e-02 1.597770000000000000e+05
7.487660000000000149e-02 1.595560000000000000e+05
7.512634999999999452e-02 1.593346000000000058e+05
7.537610000000000143e-02 1.591127999999999884e+05
7.562584999999999447e-02 1.588907000000000116e+05
7.587560000000000138e-02 1.586682999999999884e+05
7.612534999999999441e-02 1.584456000000000058e+05
7.637510000000000132e-02 1.582227000000000116e+05
7.662484999999999435e-02 1.579996000000000058e+05
7.687460000000000127e-02 1.577763999999999942e+05
7.712434999999999430e-02 1.575531000000000058e+05
7.737410000000000121e-02 1.573297000000000116e+05
7.762384999999999424e-02 1.571062999999999884e+05
7.787360000000000115e-02 1.568828999999999942e+05
7.812334999999999419e-02 1.566595000000000000e+05
7.837310000000000110e-02 1.564362000000000116e+05
7.862286000000000274e-02 1.562130000000000000e+05
7.887260999999999578e-02 1.559898999999999942e+05
7.912236000000000269e-02 1.557671000000000058e+05
7.937210999999999572e-02 1.555443999999999942e+05
7.962186000000000263e-02 1.553221000000000058e+05
7.987160999999999567e-02 1.551000000000000000e+05
8.012136000000000258e-02 1.548782999999999884e+05
8.037110999999999561e-02 1.546570000000000000e+05
8.062086000000000252e-02 1.544361000000000058e+05
8.087060999999999555e-02 1.542157000000000116e+05
8.112036000000000247e-02 1.539957999999999884e+05
8.137010999999999550e-02 1.537763999999999942e+05
8.161986000000000241e-02 1.535576000000000058e+05
8.186960999999999544e-02 1.533393999999999942e+05
8.211936000000000235e-02 1.531218999999999942e+05
8.236910999999999539e-02 1.529051000000000058e+05
8.261886000000000230e-02 1.526888999999999942e+05
8.286860999999999533e-02 1.524736000000000058e+05
8.311836000000000224e-02 1.522590000000000000e+05
8.336812000000000389e-02 1.520452000000000116e+05
8.361786999999999692e-02 1.518322999999999884e+05
8.386762000000000383e-02 1.516202999999999884e+05
8.411736999999999687e-02 1.514091000000000058e+05
8.436712000000000378e-02 1.511988999999999942e+05
8.461686999999999681e-02 1.509897000000000116e+05
8.486662000000000372e-02 1.507813999999999942e+05
8.511636999999999675e-02 1.505741000000000058e+05
8.536612000000000366e-02 1.503677000000000116e+05
8.561586999999999670e-02 1.501623999999999942e+05
8.586562000000000361e-02 1.499580000000000000e+05
8.611536999999999664e-02 1.497545000000000000e+05
8.636512000000000355e-02 1.495521000000000058e+05
8.661486999999999659e-02 1.493507000000000116e+05
8.686462000000000350e-02 1.491502999999999884e+05
8.711436999999999653e-02 1.489510000000000000e+05
8.736412000000000344e-02 1.487526000000000058e+05
8.761386999999999647e-02 1.485552999999999884e+05
8.786362000000000338e-02 1.483590000000000000e+05
8.811338000000000503e-02 1.481637999999999884e+05
8.836312999999999807e-02 1.479696000000000058e+05
8.861288000000000498e-02 1.477763999999999942e+05
8.886262999999999801e-02 1.475843999999999942e+05
8.911238000000000492e-02 1.473933999999999942e+05
8.936212999999999795e-02 1.472033999999999942e+05
8.961188000000000486e-02 1.470146000000000058e+05
8.986162999999999790e-02 1.468267999999999884e+05
9.011138000000000481e-02 1.466402000000000116e+05
9.036112999999999784e-02 1.464546000000000058e+05
9.061088000000000475e-02 1.462701000000000058e+05
9.086062999999999779e-02 1.460867999999999884e+05
9.111038000000000470e-02 1.459046000000000058e+05
9.136012999999999773e-02 1.457236000000000058e+05
9.160988000000000464e-02 1.455437000000000116e+05
9.185962999999999767e-02 1.453648999999999942e+05
9.210938000000000458e-02 1.451872000000000116e+05
9.235912999999999762e-02 1.450107000000000116e+05
9.260888999999999927e-02 1.448352999999999884e+05
9.285864000000000618e-02 1.446611000000000058e+05
9.310838999999999921e-02 1.444878999999999942e+05
9.335814000000000612e-02 1.443158999999999942e+05
9.360788999999999915e-02 1.441450000000000000e+05
9.385764000000000606e-02 1.439752000000000116e+05
9.410738999999999910e-02 1.438065000000000000e+05
9.435714000000000601e-02 1.436390000000000000e+05
9.460688999999999904e-02 1.434725000000000000e+05
9.485664000000000595e-02 1.433072000000000116e+05
9.510638999999999899e-02 1.431428999999999942e+05
9.535614000000000590e-02 1.429797000000000116e+05
9.560588999999999893e-02 1.428175000000000000e+05
9.585564000000000584e-02 1.426563999999999942e+05
9.610538999999999887e-02 1.424962999999999884e+05
9.635514000000000578e-02 1.423372000000000116e+05
9.660488999999999882e-02 1.421791000000000058e+05
9.685464000000000573e-02 1.420218999999999942e+05
9.710438999999999876e-02 1.418657000000000116e+05
9.735415000000000041e-02 1.417105000000000000e+05
9.760389999999999344e-02 1.415561000000000058e+05
9.785365000000000035e-02 1.414027000000000116e+05
9.810339999999999339e-02 1.412502000000000116e+05
9.835315000000000030e-02 1.410985000000000000e+05
9.860289999999999333e-02 1.409477000000000116e+05
9.885265000000000024e-02 1.407977999999999884e+05
9.910239999999999327e-02 1.406487000000000116e+05
9.935215000000000019e-02 1.405003999999999942e+05
9.960189999999999322e-02 1.403530000000000000e+05
9.985165000000000013e-02 1.402062999999999884e+05
1.001013999999999932e-01 1.400602999999999884e+05
1.003512000000000015e-01 1.399151000000000058e+05
1.006008999999999931e-01 1.397705000000000000e+05
1.008507000000000015e-01 1.396266000000000058e+05
1.011004000000000069e-01 1.394832999999999884e+05
1.013502000000000014e-01 1.393407000000000116e+05
1.015999000000000069e-01 1.391986000000000058e+05
1.018497000000000013e-01 1.390570000000000000e+05
1.020994000000000068e-01 1.389158999999999942e+05
1.023492000000000013e-01 1.387753999999999942e+05
1.025989000000000068e-01 1.386352999999999884e+05
1.028487000000000012e-01 1.384956000000000058e+05
1.030984000000000067e-01 1.383563999999999942e+05
1.033482000000000012e-01 1.382175000000000000e+05
1.035979000000000066e-01 1.380790000000000000e+05
1.038477000000000011e-01 1.379407999999999884e+05
1.040974000000000066e-01 1.378030000000000000e+05
1.043472000000000011e-01 1.376655000000000000e+05
1.045969000000000065e-01 1.375283999999999942e+05
1.048467000000000010e-01 1.373916000000000058e+05
1.050964000000000065e-01 1.372552999999999884e+05
1.053462000000000010e-01 1.371193999999999942e+05
